fftResults;apEnResults;sampEnResults
0.469563;0.561624;0.498751
0.444625;0.612210;0.455417
0.474386;0.509287;0.586514
0.641854;0.523186;0.464744
0.404405;0.659550;0.623318
0.620194;0.362972;0.639431
0.458003;0.502086;0.628141
0.562678;0.500332;0.365725
0.582678;0.557867;0.334928
0.772651;0.564324;0.545762
0.337730;0.376236;0.431557
0.538577;0.687497;0.561695
0.636764;0.338945;0.733549
0.540487;0.562141;0.552553
0.386502;0.437092;0.615109
0.603429;0.559093;0.444520
0.391394;0.563462;0.614179
0.467905;0.598508;0.826190
0.551691;0.645028;0.572737
0.480915;0.478812;0.392599
0.406419;0.651706;0.545136
0.521460;0.399238;0.543653
0.701061;0.540725;0.469092
0.499760;0.594966;0.560644
0.545981;0.440119;0.448226
0.528283;0.556640;0.383939
0.578955;0.584370;0.324958
0.476349;0.788351;0.678518
0.498784;0.667795;0.442459
0.472627;0.598331;0.418724
0.615152;0.616196;0.532008
0.627761;0.494070;0.471991
0.506361;0.637237;0.508037
0.582879;0.989503;1.041995
0.969832;1.258751;1.037118
1.057150;1.162664;1.111205
1.033932;0.897830;1.020000
0.941279;0.940150;0.868725
1.075007;1.003660;1.033926
1.091271;0.948164;1.211775
1.051700;0.987252;1.257472
1.497015;0.971616;1.252049
1.341941;0.961567;1.390932
1.467068;1.008770;1.196939
1.385068;1.272294;0.850285
1.028143;1.011535;1.253611
0.872900;1.313320;0.974538
1.219828;1.199445;1.153877
1.110886;1.045790;0.991865
1.023248;1.177284;0.972264
1.216565;1.340990;1.002876
0.918727;1.185297;1.024601
0.889433;1.269277;0.879236
0.934926;1.090232;0.952626
1.013666;1.221087;1.319049
1.083925;0.970712;1.114951
0.972009;0.995156;0.925665
1.225941;1.071561;1.041893
1.019807;1.031253;1.035197
1.353576;1.121222;1.115685
1.047521;1.237372;1.015613
0.994935;1.164865;1.018735
1.175776;1.086121;1.005137
1.226121;1.057187;1.023326
1.170049;0.952859;1.044688
1.023430;1.053323;0.999472
1.168124;1.057434;0.966476
1.001812;0.937328;1.244365
0.998458;1.008622;1.137679
1.101644;1.004565;0.863903
0.984072;0.905613;0.908138
0.833175;1.029328;0.964074
1.010227;1.047788;0.910590
1.178236;1.031474;0.952403
1.234972;1.510874;0.952086
1.223184;1.349208;0.929789
1.376781;1.472200;0.974356
1.167910;1.364961;1.235637
0.828719;0.999350;0.979346
1.242519;0.838814;1.277528
0.943486;1.192869;1.163087
1.131299;1.095729;1.006295
0.969111;0.997243;1.158073
0.950328;1.185911;1.335640
0.982772;0.890714;1.184987
0.992302;0.848114;1.247414
0.863825;0.906433;1.059700
0.906204;0.982610;1.196721
1.313106;1.071886;0.941900
1.079283;0.949968;0.960836
0.906677;1.192853;1.035065
1.013456;0.983755;1.001931
1.006002;1.349083;1.086511
1.099544;1.009668;1.223306
0.982374;0.977896;1.125654
0.996460;1.155843;1.041641
0.976696;1.193422;1.038825
1.010758;1.155221;0.925225
1.023123;0.997471;1.017091
0.986092;1.159972;1.027672
