fftResults;apEnResults;sampEnResults
0.140333;0.279795;0.127365
0.212246;0.159135;0.238885
0.780813;0.183065;0.239102
0.173731;0.142581;0.103480
0.177254;0.358969;0.703173
0.722363;0.191854;0.451753
0.104974;0.276359;0.147145
0.131329;0.103190;0.189854
0.139891;0.194837;0.156125
0.090004;0.495858;0.233077
0.199271;0.217335;0.111777
0.174195;0.226726;0.195582
0.165117;0.366992;0.372490
0.491746;0.158530;0.207309
0.287675;0.107405;0.729852
0.113147;0.175549;0.107418
0.230950;0.178106;0.250184
0.134093;0.421299;0.175004
0.204960;0.208660;0.193906
0.101779;0.134814;0.346538
0.413254;0.261201;0.216701
0.324912;0.299320;0.138483
0.127660;0.177776;0.454042
0.188331;0.619115;0.148852
0.091597;0.587765;0.187196
0.157284;0.304293;0.175373
0.271232;0.104882;0.155943
0.237607;0.364140;0.570656
0.138954;0.361588;0.113954
0.190420;0.504769;0.230243
0.110406;0.111814;0.248632
0.211805;0.243488;0.282184
0.129321;0.170601;0.208022
0.202752;0.745645;0.917347
0.867325;0.683270;0.697964
0.773641;0.521228;0.514053
0.753041;0.834185;0.805590
0.519299;0.545329;0.780790
0.605060;0.571697;0.962614
0.583905;0.643424;0.711912
0.669837;0.769423;0.760973
0.841200;0.635681;0.607710
0.900634;0.713401;0.649193
0.836509;0.537756;0.599355
0.614645;0.901647;0.932138
0.648990;0.746279;0.632166
0.729256;0.674815;0.753731
0.678835;0.766307;0.730377
0.556217;0.689008;0.787877
0.726285;0.811909;0.668368
0.782356;0.984497;0.683095
0.634668;0.744513;0.498143
0.647023;0.746390;0.653981
0.620929;0.753273;0.763083
0.723237;0.792088;0.609375
0.763016;0.754525;0.756173
0.638041;0.690054;0.728799
0.746052;0.706708;0.711704
0.649406;0.805063;0.781621
0.730267;0.585985;0.377313
0.770631;0.619167;0.907873
0.511990;0.789417;0.925937
0.607624;0.666938;0.669710
1.118805;0.799635;0.810049
0.652268;0.656396;0.711704
0.764789;0.357143;0.626896
0.692275;0.738488;0.513962
0.781568;0.654382;0.657743
0.569533;0.678118;0.229317
0.460978;0.689421;0.582762
0.615906;0.373311;0.438983
0.603007;0.430068;0.378398
0.772854;0.391187;0.527936
0.647638;0.460737;0.475089
0.514697;0.785863;0.403482
0.517165;0.801401;0.654066
0.400021;0.628438;0.399395
0.413047;0.520724;0.761865
0.865070;0.556766;0.498064
0.455088;0.701090;0.360599
0.431402;0.668570;0.740422
0.685809;0.318174;0.591308
0.524565;0.658712;0.626736
0.562403;0.540362;0.808421
0.479551;0.605226;0.700264
0.336511;0.620309;0.645550
0.570140;0.375935;0.686617
0.627883;0.649608;0.637114
0.415505;0.655493;0.644524
0.615793;0.432724;0.653375
0.558826;0.637831;0.618185
0.472237;0.567855;0.588204
0.648102;0.524147;0.440649
0.294512;0.572158;0.549652
0.850352;0.271811;0.584206
0.780260;0.506311;0.581867
0.404638;1.029202;0.637950
0.690272;0.400798;0.624043
0.677899;0.688868;0.242814
0.612316;0.430793;0.682656
